,Discharge
2050-01-05,110.41844904103195
2050-01-15,32.79202952525407
2050-01-25,0.5467344802465645
2050-02-05,14.652363944920694
2050-02-15,37.583920432647304
2050-02-25,21.923935313205828
2050-03-05,1.1025011011723744
2050-03-15,0.020096806867769504
2050-03-25,0.00033506975373401846
2050-04-05,4.474019942987233e-06
2050-04-15,5.8182486293242945
2050-04-25,9.67017221250733
2050-05-05,42.846229373448594
2050-05-15,28.698605273578757
2050-05-25,33.94061964349386
2050-06-05,21.2172359119491
2050-06-15,50.7565973034214
2050-06-25,254.01963184548586
2050-07-05,144.96820161625138
2050-07-15,49.598226339505224
2050-07-25,4.426677595283507
2050-08-05,17.51950628890151
2050-08-15,64.38533134875769
2050-08-25,25.8369711972374
2050-09-05,0.34498823935802714
2050-09-15,0.006288576048275636
2050-09-25,67.05038805960035
2050-10-05,97.28703776120088
2050-10-15,32.5507930176321
2050-10-25,61.921605870641294
2050-11-05,2.7845600017042913
2050-11-15,0.050758012401493004
2050-11-25,0.0009252362388934857
2050-12-05,1.6865555943963305e-05
2050-12-15,3.0743172969438974e-07
2050-12-25,5.1257433400490974e-09
2051-01-05,6.844150410609079e-11
2051-01-15,1.2475776108496685e-12
2051-01-25,8.68822242931425
2051-02-05,2.4718044704369424
2051-02-15,0.04505698634172504
2051-02-25,0.001003243503695364
2051-03-05,3.335097915805105e-05
2051-03-15,6.07934256281133e-07
2051-03-25,1.0135957561759719e-08
2051-04-05,22.05118864459403
2051-04-15,27.85402420325584
2051-04-25,65.99626853845334
2051-05-05,10.933698884064324
2051-05-15,0.1993035966945784
2051-05-25,0.003322946152697358
2051-06-05,4.4369648978947176e-05
2051-06-15,56.02632177408943
2051-06-25,35.30728518595332
2051-07-05,641.5118273824826
2051-07-15,282.7288191677652
2051-07-25,211.4377768447431
2051-08-05,194.48604854388265
2051-08-15,106.39732431436182
2051-08-25,12.00942153573838
2051-09-05,0.16035583891372523
2051-09-15,18.256717511511688
2051-09-25,1.1562719689074394
2051-10-05,26.305460205567904
2051-10-15,10.723682069094199
2051-10-25,12.328485021730746
2051-11-05,1.0484990458246062
2051-11-15,0.019112436987655416
2051-11-25,0.0003483887267821166
2051-12-05,6.35056141858097e-06
2051-12-15,1.1576043433917249e-07
2051-12-25,1.9300489118187215e-09
2052-01-05,2.5770984179229648e-11
2052-01-15,4.697632422240514e-13
2052-01-25,7.832261857367235e-15
2052-02-05,14.806805574940757
2052-02-15,11.841072572483423
2052-02-25,0.26365454282787554
2052-03-05,2.5213429533438667
2052-03-15,2.0705031332149795
2052-03-25,60.789784518090094
2052-04-05,15.96837273354898
2052-04-15,3.335752830849433
2052-04-25,22.95388207516016
2052-05-05,83.22662238715472
2052-05-15,19.36693504234735
2052-05-25,0.762165218914284
2052-06-05,255.10911250128325
2052-06-15,263.69778101254803
2052-06-25,21.825587500715052
2052-07-05,0.39784506002855796
2052-07-15,0.007252070157742202
2052-07-25,0.00012091221146746273
2052-08-05,6.707056933152261
2052-08-15,1.3566787108989806
2052-08-25,71.859375923669
2052-09-05,163.40165644959853
2052-09-15,28.064086899425927
2052-09-25,312.16232471214295
2052-10-05,173.82823910514128
2052-10-15,23.751381331179793
2052-10-25,3.0305898789825734
2052-11-05,0.04046596091256418
2052-11-15,0.0007376288334893587
2052-11-25,1.3445777234118194e-05
2052-12-05,2.450947105393206e-07
2052-12-15,4.467679040667444e-09
2052-12-25,7.448865512659539e-11
2053-01-05,9.946100023914237e-13
2053-01-15,1.8130127131444046e-14
2053-01-25,3.022797239914779e-16
2053-02-05,4.036190967484642e-18
2053-02-15,21.90905388962384
2053-02-25,86.30434286465288
2053-03-05,3936.925702286086
2053-03-15,203.25404498297732
2053-03-25,3.388811130344909
2053-04-05,19.085731288974106
2053-04-15,7.742934367533439
2053-04-25,60.94382131986731
2053-05-05,44.43558900201665
2053-05-15,80.72812006222303
2053-05-25,29.270046963040325
2053-06-05,20.066023311284084
2053-06-15,473.9302197327802
2053-06-25,99.93908628508349
2053-07-05,10.29148419861236
2053-07-15,0.18759706462177694
2053-07-25,15.852866146624462
2053-08-05,224.58885875888632
2053-08-15,42.731974187557555
2053-08-25,38.389905349187714
2053-09-05,105.50717566406479
2053-09-15,129.8877540522685
2053-09-25,71.14926915877518
2053-10-05,21.736349943015366
2053-10-15,75.51925514160953
2053-10-25,3.6519741800439194
2053-11-05,46.52334287710275
2053-11-15,67.34302295562041
2053-11-25,4.050858538318553
2053-12-05,0.0738405808453835
2053-12-15,9.917851253300828
2053-12-25,0.16535820834023704
2054-01-05,0.0022079459981282916
2054-01-15,4.0247274357970244e-05
2054-01-25,6.710341795252225e-07
2054-02-05,8.959985997438342e-09
2054-02-15,28.679807363300245
2054-02-25,174.35834716733427
2054-03-05,72.29960290541192
2054-03-15,3.423549986768735
2054-03-25,0.1439653840305177
2054-04-05,0.0019222982440953104
2054-04-15,3.504037910960401e-05
2054-04-25,6.387292772681194e-07
2054-05-05,8.652884965760565
2054-05-15,22.788620217174387
2054-05-25,0.5197902127260394
2054-06-05,71.3552146402855
2054-06-15,59.71751722530631
2054-06-25,35.964757053404455
2054-07-05,184.79917561515072
2054-07-15,1061.2093297353258
2054-07-25,44.94303221415939
2054-08-05,46.60773515311304
2054-08-15,15.842357339270006
2054-08-25,0.26413622856418856
2054-09-05,89.46614499621278
2054-09-15,75.70883866431966
2054-09-25,207.57991525798525
2054-10-05,20.967887209666028
2054-10-15,0.8988253182425747
2054-10-25,0.014985921893713573
2054-11-05,0.00020009956932652982
2054-11-15,3.6474905964292462e-06
2054-11-25,6.64878375091828e-08
2054-12-05,1.2119654375463307e-09
2054-12-15,2.2092164173695676e-11
2054-12-25,3.6833791844829994e-13
2055-01-05,4.918233217207237e-15
2055-01-15,8.965141439927587e-17
2055-01-25,40.02312956986433
2055-02-05,12.468805264607518
2055-02-15,0.3761480550648664
2055-02-25,0.008375351378572152
2055-03-05,0.00027842310290496713
2055-03-15,5.075201576357792e-06
