stno,Date,TX01,PP01
C0C460,2008/1/1,7.958333333,0.04
C0C460,2008/1/2,8.783333333,0
C0C460,2008/1/3,13.3125,0.04
C0C460,2008/1/4,13.60909091,0
C0C460,2008/1/5,13.425,0.18
C0C460,2008/1/6,16.93333333,0.04
C0C460,2008/1/7,18.02916667,0
C0C460,2008/1/8,18.8,0
C0C460,2008/1/9,18.9625,0
C0C460,2008/1/10,19.15416667,0
C0C460,2008/1/11,19.65833333,0
C0C460,2008/1/12,18.6625,0.36
C0C460,2008/1/13,13.71666667,4.78
C0C460,2008/1/14,12.1,3.32
C0C460,2008/1/15,13.46666667,4.33
C0C460,2008/1/16,11.2375,2.11
C0C460,2008/1/17,12.9875,0.62
C0C460,2008/1/18,15.2625,0.9
C0C460,2008/1/19,17.45416667,0.12
C0C460,2008/1/20,17.3,0
C0C460,2008/1/21,15.12916667,0.04
C0C460,2008/1/22,15.01666667,0.08
C0C460,2008/1/23,14.3125,0.16
C0C460,2008/1/24,11.52083333,0.57
C0C460,2008/1/25,14.425,4.21
C0C460,2008/1/26,14.22083333,19.35
C0C460,2008/1/27,12.37916667,2.19
C0C460,2008/1/28,12.94583333,0.26
C0C460,2008/1/29,12.97916667,2.47
C0C460,2008/1/30,11.59583333,0.41
C0C460,2008/1/31,10.0125,10.54
C0C460,2008/2/1,12.775,0.53
C0C460,2008/2/2,11.2375,2.6
C0C460,2008/2/3,7.8375,13.84
C0C460,2008/2/4,11.80833333,2.98
C0C460,2008/2/5,12.38333333,19.82
C0C460,2008/2/6,9.0375,3.61
C0C460,2008/2/7,9.466666667,11.25
C0C460,2008/2/8,10.18333333,2.21
C0C460,2008/2/9,6.645833333,1.5
C0C460,2008/2/10,9.3,0.12
C0C460,2008/2/11,9.758333333,2.88
C0C460,2008/2/12,6.0125,1.96
C0C460,2008/2/13,5.745833333,0.12
C0C460,2008/2/14,8.333333333,0.65
C0C460,2008/2/15,7.925,0.32
C0C460,2008/2/16,13.4625,0.16
C0C460,2008/2/17,16.2125,0.45
C0C460,2008/2/18,15.36666667,1.98
C0C460,2008/2/19,13.6625,1.26
C0C460,2008/2/20,14,0.16
C0C460,2008/2/21,15.97916667,0.08
C0C460,2008/2/22,17.75416667,0
C0C460,2008/2/23,14.79583333,12.58
C0C460,2008/2/24,14.60416667,1.89
C0C460,2008/2/25,15.3625,0.5
C0C460,2008/2/26,11.58333333,4.59
C0C460,2008/2/27,7.304166667,0.33
C0C460,2008/2/28,10.38333333,0
C0C460,2008/2/29,10.85833333,0.3
C0C460,2008/3/1,14.37916667,0.54
C0C460,2008/3/2,15.6875,0.3
C0C460,2008/3/3,14.8,0
C0C460,2008/3/4,12.74583333,0
C0C460,2008/3/5,13.47916667,0
C0C460,2008/3/6,15.37083333,0
C0C460,2008/3/7,16.09166667,0
C0C460,2008/3/8,13.58333333,0
C0C460,2008/3/9,14.1625,0.04
C0C460,2008/3/10,15.175,6.89
C0C460,2008/3/11,17.32916667,0.16
C0C460,2008/3/12,19.79166667,0.18
C0C460,2008/3/13,18.35833333,0.18
C0C460,2008/3/14,14.83333333,4.95
C0C460,2008/3/15,16.375,0.28
C0C460,2008/3/16,17.14583333,0.14
C0C460,2008/3/17,17.05416667,0.04
C0C460,2008/3/18,17.70416667,12.75
C0C460,2008/3/19,15.0625,6.04
C0C460,2008/3/20,17.14583333,0
C0C460,2008/3/21,17.55833333,0
C0C460,2008/3/22,18.27083333,4.12
C0C460,2008/3/23,14.0875,25
C0C460,2008/3/24,15.61666667,0.04
C0C460,2008/3/25,16.68333333,0
C0C460,2008/3/26,17.1375,0.27
C0C460,2008/3/27,17.74166667,0
C0C460,2008/3/28,18.425,0
C0C460,2008/3/29,20.31666667,0.14
C0C460,2008/3/30,16.95833333,5.32
C0C460,2008/3/31,11.95416667,77.09
C0C460,2008/4/1,13.93913043,28.05
C0C460,2008/4/2,15.92916667,2.23
C0C460,2008/4/3,14.03333333,2.59
C0C460,2008/4/4,17.88333333,0.34
C0C460,2008/4/5,20.46666667,0
C0C460,2008/4/6,21.85,0
C0C460,2008/4/7,22.62916667,0
C0C460,2008/4/8,22.66666667,0
C0C460,2008/4/9,22.74166667,1.92
C0C460,2008/4/10,18.78333333,0.96
C0C460,2008/4/11,18.85,1
