Date,TX01,PP01
2021/6/1,26.11666667,0.5
2021/6/2,21.95833333,0
2021/6/3,26.375,2.0
2021/6/4,25.77083333,1.0
2021/6/5,23.65833333,0.5
2021/6/6,23.55833333,0
2021/6/7,26.44583333,0
2021/6/8,26.2875,0.5
2021/6/9,23.55,0.5
2021/6/10,22.99166667,0
2021/6/11,23.61666667,0
2021/6/12,26.17272727,1.0
2021/6/13,23.94583333,0
2021/6/14,25.40833333,1.5
2021/6/15,20.9375,0.5
2021/6/16,23.90416667,0.5
2021/6/17,25.95833333,0
2021/6/18,26.34166667,1.0
2021/6/19,23.65833333,0
2021/6/20,23.34583333,1.0
2021/6/21,25.7875,0.5
2021/6/22,20.9375,0
2021/6/23,24.40833333,0.5
2021/6/24,20.66666667,0
2021/6/25,25.8625,1.0
2021/6/26,25.69166667,0
2021/6/27,23.0,0
2021/6/28,24.69583333,0
2021/6/29,20.66666667,0
2021/6/30,25.21666667,0.5
2021/7/1,28.42916667,0
2021/7/2,28.9625,0
2021/7/3,28.9625,0
2021/7/4,28.675,0
2021/7/5,28.47083333,0
2021/7/6,28.675,0
2021/7/7,28.96086957,0
2021/7/8,28.91666667,0.5
2021/7/9,28.57083333,1.5
2021/7/10,28.39166667,0
2021/7/11,28.57083333,0
2021/7/12,28.86956522,0
2021/7/13,28.82083333,0
2021/7/14,28.57083333,0
2021/7/15,28.55,0
2021/7/16,29.09583333,0.5
2021/7/17,29.15833333,0
2021/7/18,28.88333333,0
2021/7/19,29.05833333,1.0
2021/7/20,28.4375,0
2021/7/21,28.925,0
2021/7/22,29.04166667,0
2021/7/23,28.96086957,0
2021/7/24,28.54166667,2.0
2021/7/25,28.38333333,0
2021/7/26,28.74583333,0.5
2021/7/27,29.09166667,0
2021/7/28,28.89166667,0.5
2021/7/29,28.97916667,0
2021/7/30,28.51363636,0
2021/7/31,28.6,0
2021/8/1,28.875,0
2021/8/2,28.8952381,0
2021/8/3,28.17391304,0
2021/8/4,29.02916667,0
2021/8/5,28.65416667,0.5
2021/8/6,28.65416667,0
2021/8/7,28.64583333,0
2021/8/8,28.17391304,0
2021/8/9,28.1875,0
2021/8/10,28.67916667,0
2021/8/11,28.60833333,0
2021/8/12,29.05833333,0.5
2021/8/13,28.96521739,0
2021/8/14,28.85652174,1.5
2021/8/15,28.54583333,0
2021/8/16,28.45416667,0
2021/8/17,28.4,0
2021/8/18,28.63333333,0
2021/8/19,29.0125,0
2021/8/20,28.81666667,0.5
2021/8/21,29.0125,0
2021/8/22,28.78333333,0
2021/8/23,28.30416667,0
2021/8/24,28.3125,0
2021/8/25,28.67083333,0
2021/8/26,28.35416667,0
2021/8/27,28.80833333,1.0
2021/8/28,28.99090909,0
2021/8/29,28.98333333,0
2021/8/30,28.6625,1.0
2021/8/31,28.28333333,0
