Date,PP01,TX01,TX02,TX04
2008/1/1,0.04,7.958333333,11,6.4
2008/1/2,0,8.783333333,12.7,6.2
2008/1/3,0.04,13.3125,18.7,9.4
2008/1/4,0,13.60909091,19.2,10.1
2008/1/5,0.18,13.425,16.7,10.9
2008/1/6,0.04,16.93333333,21.2,14.8
2008/1/7,0,18.02916667,22.8,15.2
2008/1/8,0,18.8,22.5,16.2
2008/1/9,0,18.9625,23.9,16.5
2008/1/10,0,19.15416667,25.4,15.5
2008/1/11,0,19.65833333,25.9,15.1
2008/1/12,0.36,18.6625,24.1,15.3
2008/1/13,4.78,13.71666667,15.6,12.2
2008/1/14,3.32,12.1,13.6,10.8
2008/1/15,4.33,13.46666667,18.6,10.9
2008/1/16,2.11,11.2375,12.4,10
2008/1/17,0.62,12.9875,18,10.8
2008/1/18,0.9,15.2625,20.7,12.3
2008/1/19,0.12,17.45416667,22.4,14.3
2008/1/20,0,17.3,24.3,13.2
2008/1/21,0.04,15.12916667,18.3,13.7
2008/1/22,0.08,15.01666667,16.8,13.6
2008/1/23,0.16,14.3125,17.8,12.3
2008/1/24,0.57,11.52083333,12.4,10.6
2008/1/25,4.21,14.425,18.3,11.3
2008/1/26,19.35,14.22083333,16.2,11.9
2008/1/27,2.19,12.37916667,14.9,11.4
2008/1/28,0.26,12.94583333,13.8,11.8
2008/1/29,2.47,12.97916667,20.6,10.6
2008/1/30,0.41,11.59583333,13.8,9.6
2008/1/31,10.54,10.0125,11.4,9.2
2008/2/1,0.53,12.775,17.4,10.3
2008/2/2,2.6,11.2375,13.6,9.8
2008/2/3,13.84,7.8375,9.6,6.7
2008/2/4,2.98,11.80833333,13.7,9.2
2008/2/5,19.82,12.38333333,15.6,10.2
2008/2/6,3.61,9.0375,10.6,8.3
2008/2/7,11.25,9.466666667,11.3,8.5
2008/2/8,2.21,10.18333333,12.3,9
2008/2/9,1.5,6.645833333,8.7,5.2
2008/2/10,0.12,9.3,11.7,7
2008/2/11,2.88,9.758333333,11.7,7.3
2008/2/12,1.96,6.0125,7.1,4.4
2008/2/13,0.12,5.745833333,7.2,4.2
2008/2/14,0.65,8.333333333,9.2,7.4
2008/2/15,0.32,7.925,9.9,6.4
2008/2/16,0.16,13.4625,19,10.2
2008/2/17,0.45,16.2125,21.7,13.1
2008/2/18,1.98,15.36666667,20.9,12.2
2008/2/19,1.26,13.6625,18.6,11.4
2008/2/20,0.16,14,19.3,9.5
2008/2/21,0.08,15.97916667,21.8,10.5
2008/2/22,0,17.75416667,21.3,15.4
2008/2/23,12.58,14.79583333,19.1,11.7
2008/2/24,1.89,14.60416667,19.8,11.6
2008/2/25,0.5,15.3625,18.5,13.4
2008/2/26,4.59,11.58333333,15.3,6.6
2008/2/27,0.33,7.304166667,8.2,6.5
2008/2/28,0,10.38333333,13.8,7.9
2008/2/29,0.3,10.85833333,13.5,9.1
2008/3/1,0.54,14.37916667,21,9.1
2008/3/2,0.3,15.6875,20.3,12.8
2008/3/3,0,14.8,20.6,11.2
2008/3/4,0,12.74583333,18.5,9.1
2008/3/5,0,13.47916667,19.5,8.6
2008/3/6,0,15.37083333,20.8,10.9
2008/3/7,0,16.09166667,22.1,10.8
2008/3/8,0,13.58333333,18.8,11.2
2008/3/9,0.04,14.1625,17.3,10.1
2008/3/10,6.89,15.175,16.8,14.1
2008/3/11,0.16,17.32916667,22.3,13
2008/3/12,0.18,19.79166667,25.7,13.5
2008/3/13,0.18,18.35833333,22,16.1
2008/3/14,4.95,14.83333333,16.2,14.1
2008/3/15,0.28,16.375,21.6,12.6
2008/3/16,0.14,17.14583333,21.8,14.7
2008/3/17,0.04,17.05416667,21.6,14.8
2008/3/18,12.75,17.70416667,23.5,15.4
2008/3/19,6.04,15.0625,17.5,12.1
2008/3/20,0,17.14583333,24.1,12.7
2008/3/21,0,17.55833333,22.8,14.9
2008/3/22,4.12,18.27083333,22.9,14.9
2008/3/23,25,14.0875,17.1,11.6
2008/3/24,0.04,15.61666667,19.3,13
2008/3/25,0,16.68333333,22,12
2008/3/26,0.27,17.1375,21.7,14.8
2008/3/27,0,17.74166667,25.5,12.9
2008/3/28,0,18.425,24.4,13.9
2008/3/29,0.14,20.31666667,25.5,16.6
2008/3/30,5.32,16.95833333,21.2,13.4
2008/3/31,77.09,11.95416667,13,11.2
2008/4/1,28.05,13.93913043,15.2,12
2008/4/2,2.23,15.92916667,18.4,14.1
2008/4/3,2.59,14.03333333,15.8,12.9
2008/4/4,0.34,17.88333333,22.1,15.7
2008/4/5,0,20.46666667,27.3,16.5
2008/4/6,0,21.85,28.7,16.8
2008/4/7,0,22.62916667,30.1,17.8
2008/4/8,0,22.66666667,27.3,19.3
2008/4/9,1.92,22.74166667,29.5,19.1
2008/4/10,0.96,18.78333333,22.1,16.8
2008/4/11,1,18.85,22.1,17
2008/4/12,0,19.12083333,21.6,18.1
2008/4/13,0.87,17.80416667,19.1,16.4
2008/4/14,0,18.4875,22,15.8
2008/4/15,0,21.57916667,26.9,17.4
2008/4/16,4.73,22.5875,27.2,18.3
2008/4/17,21.98,20.69583333,24.8,17.3
2008/4/18,2.41,19.7625,24.3,16.5
2008/4/19,0.29,22.75,27.4,18.6
2008/4/20,2.6,23.04166667,26.4,20.2
2008/4/21,9.52,21.0875,24.1,20
2008/4/22,4.42,19.39166667,21.6,17.7
2008/4/23,0.3,16.00833333,17.6,14.5
2008/4/24,0.7,14.17083333,15.3,13.3
2008/4/25,0,17.4,23,13.5
2008/4/26,0,20.5375,27.3,15.1
2008/4/27,0,20.68333333,25.9,16.9
2008/4/28,4.52,18.84166667,21.1,17.2
2008/4/29,6.61,20.48333333,24.2,17.5
2008/4/30,0.72,21.27083333,24.2,20.1
2008/5/1,12.64,20.63333333,23.5,18.4
2008/5/2,0,22.32083333,27.6,18.8
2008/5/3,0,22.99583333,28.6,19.3
2008/5/4,0,23.25416667,26.8,19.5
2008/5/5,17.59,17.825,21.8,14.5
2008/5/6,11.17,18.30833333,19.5,17.7
2008/5/7,25.87,19.25,20.5,18.3
2008/5/8,0.11,22.26521739,26.9,18.5
2008/5/9,0.89,24.225,30.5,20
2008/5/10,5.48,17.7125,19.7,15.6
2008/5/11,0,17.625,22.2,13.5
2008/5/12,0,18.99583333,25.8,11.9
2008/5/13,0.12,21.45416667,26.7,16.3
2008/5/14,0.04,21.14166667,23.3,19.8
2008/5/15,0.37,22.18333333,27.7,18.7
2008/5/16,0.04,21.8625,26.6,18
2008/5/17,1.4,22.79166667,29.3,19.2
2008/5/18,0.09,23.65833333,29.6,20.1
2008/5/19,13.73,19.025,22.4,12
2008/5/20,4.93,19.98333333,27.1,12.8
2008/5/21,2.48,21.26666667,26,18.5
2008/5/22,26.55,22.45,27.5,19.9
2008/5/23,5.25,24.41666667,29.5,20.6
2008/5/24,1.22,23.96666667,28.5,21.9
2008/5/25,45.37,23.125,29.2,21
2008/5/26,4.56,22.34166667,25.9,20.7
2008/5/27,9.6,23.10416667,28.3,20.7
2008/5/28,0,25.27083333,31.3,20.8
2008/5/29,2.06,25.025,29.8,21.3
2008/5/30,15.54,24.82083333,30.9,20.5
2008/5/31,5.32,20.56666667,23.4,18.6
2008/6/1,1.06,21.04166667,22.6,19.1
2008/6/2,14.81,20.975,22.1,20.4
2008/6/3,14.63,20.79583333,22.1,20.4
2008/6/4,5.62,22.20833333,25.4,20.5
2008/6/5,0.76,23.42916667,27.7,19.1
2008/6/6,0.3,22.98333333,26.2,20.6
2008/6/7,1.53,23.37083333,28.3,20.2
2008/6/8,0.48,24.1375,28.6,21
2008/6/9,3.06,23.9625,29.7,21.9
2008/6/10,0.28,24.6125,29.8,20.5
2008/6/11,0,25.01666667,30.6,21.6
2008/6/12,30.67,21.69166667,27,19.9
2008/6/13,2.73,22.86521739,28.8,20.3
2008/6/14,8.74,22.12916667,25.5,21.2
2008/6/15,19.48,23.10416667,27.9,20.6
2008/6/16,52.1,22.60416667,26,20.6
2008/6/17,4.44,23.63181818,27.6,21
2008/6/18,9.22,23.81666667,29.3,21.7
