,PP01,P_Occurrence,TX01
2001-01-01,1.9351684644355884,1,18.032013466183038
2001-01-02,42.70190963609364,1,18.244816794036847
2001-01-03,0.23528204420264248,1,19.359320038458524
2001-01-04,1.1778386872147997,1,18.67742812817544
2001-01-05,0.0,0,17.65367315244386
2001-01-06,0.0,0,20.05899989163591
2001-01-07,0.0,0,20.491960005986204
2001-01-08,0.6771757727826675,1,16.354539851513255
2001-01-09,0.0,0,20.999222580086286
2001-01-10,0.0,0,20.12538736274878
2001-01-11,4.457694418880433,1,16.507177456079614
2001-01-12,0.6045035546035809,1,15.852801948271459
2001-01-13,0.0,0,14.323519088131519
2001-01-14,0.0,0,18.802200294135968
2001-01-15,56.1713172177058,1,16.725202573942408
2001-01-16,0.0,0,18.46877178981772
2001-01-17,0.0,0,19.399416230532204
2001-01-18,0.0,0,16.140731486067452
2001-01-19,0.0,0,15.70266997329446
2001-01-20,0.0,0,14.14280343699938
2001-01-21,0.0,0,18.018737470310285
2001-01-22,19.024917950556894,1,14.276178339957827
2001-01-23,0.38903690564604,1,11.409561581733787
2001-01-24,4.4633079342756705,1,14.896402905158467
2001-01-25,0.0,0,14.210180530814956
2001-01-26,0.09408774400082671,1,9.729829682821517
2001-01-27,2.234627045886548,1,11.947824943329511
2001-01-28,0.2586714024879782,1,13.177469645249332
2001-01-29,6.483741355255585,1,14.65915155086249
2001-01-30,0.0,0,18.168038153717422
2001-01-31,0.0,0,10.914847218630705
2001-02-01,99.7886701726589,1,11.933161048153906
2001-02-02,3.5247891197279726,1,10.222961158013192
2001-02-03,5.838673477269774,1,13.723816340531505
2001-02-04,0.0478390166625799,1,14.326347605580082
2001-02-05,0.0,0,19.395895157076396
2001-02-06,0.0,0,15.377584534580874
2001-02-07,0.0,0,14.592589091970288
2001-02-08,3.6334970455625824,1,13.465632134855811
2001-02-09,12.210749448994646,1,11.031084278276492
2001-02-10,0.0,0,13.227382848725448
2001-02-11,14.332787523993401,1,14.167422399561634
2001-02-12,15.902713512576728,1,12.652580351946067
2001-02-13,4.257698646011087,1,11.738881118462983
2001-02-14,3.624844877427464,1,12.665703808306976
2001-02-15,0.0,0,17.471227214484884
2001-02-16,0.0,0,19.13800156297216
2001-02-17,14.62594801956865,1,15.174673239439626
2001-02-18,12.841716202430641,1,12.47517289906706
2001-02-19,10.069995710027722,1,9.951773166450495
2001-02-20,1.4171889074248032,1,10.878027476274543
2001-02-21,0.0,0,15.932261595848617
2001-02-22,0.0,0,12.541009825565798
2001-02-23,0.0,0,14.527865259464626
2001-02-24,2.4262239175892883,1,15.205059858211055
2001-02-25,0.0,0,20.629762659253057
2001-02-26,0.0,0,20.757900396596614
2001-02-27,0.0,0,19.81050415070307
2001-02-28,0.0,0,26.291762432109696
2001-03-01,0.0,0,23.188871469075615
2001-03-02,0.0,0,26.422062298770683
2001-03-03,0.0,0,26.262763507145657
2001-03-04,11.251438324994282,1,25.11031409486035
2001-03-05,11.907240519457158,1,20.549472835651443
2001-03-06,0.0,0,19.81333910822562
2001-03-07,0.0,0,17.961644493641593
2001-03-08,0.0,0,16.966185194101367
2001-03-09,0.0,0,12.767659947472774
2001-03-10,0.0,0,13.125552988827268
2001-03-11,0.0,0,13.027222421406178
2001-03-12,4.042109035533052,1,13.69765738620064
2001-03-13,30.056846110379382,1,10.944484200527167
2001-03-14,0.0,0,18.920393873625038
2001-03-15,0.0,0,18.624652430269602
2001-03-16,0.0,0,18.520974813141276
2001-03-17,9.988737081409104,1,15.298264678064296
2001-03-18,0.0,0,17.270552600294373
2001-03-19,0.0,0,17.781580533466588
2001-03-20,0.0,0,16.499735830887854
2001-03-21,0.0,0,17.02980319703836
2001-03-22,0.0,0,19.463483609257167
2001-03-23,0.0,0,20.324312655423565
2001-03-24,0.0,0,17.775824335477957
2001-03-25,11.79089904418492,1,16.22458971579291
2001-03-26,5.981572184302001,1,15.226824431157368
2001-03-27,0.0,0,18.526200516072063
2001-03-28,0.0,0,17.19221645302964
2001-03-29,6.61881454388876,1,15.747202471377939
2001-03-30,0.0,0,18.981441790726326
2001-03-31,5.007462779410181,1,19.681824956039975
2001-04-01,7.761595542696052,1,18.390003413164102
2001-04-02,38.680752799406385,1,18.484179634769493
2001-04-03,0.0,0,25.08996471815871
2001-04-04,0.0,0,25.606498081341392
2001-04-05,0.0,0,23.865967794302552
2001-04-06,35.55506611851773,1,24.574745705368166
2001-04-07,7.324941636818303,1,21.382814013126534
2001-04-08,19.436392690353244,1,23.146243030582344
2001-04-09,0.0,0,22.2637684588336
2001-04-10,26.501864735452628,1,16.857465111386986
2001-04-11,38.40327179433352,1,16.49837288927914
2001-04-12,25.814655832170683,1,13.973101793212873
2001-04-13,21.898265428047985,1,14.252569306540948
2001-04-14,0.0,0,19.2145027416059
2001-04-15,0.0,0,18.67136891656702
2001-04-16,40.896825972033824,1,16.95637579451391
2001-04-17,33.13428452797383,1,21.451672089988776
2001-04-18,8.300640018369668,1,21.388194557293385
2001-04-19,14.741558127296885,1,22.19075969694163
2001-04-20,0.0,0,26.06720564218869
2001-04-21,0.0,0,23.571609703611802
2001-04-22,0.0,0,23.53097952143948
2001-04-23,0.0,0,24.056669232510544
2001-04-24,0.0,0,23.852209624904166
2001-04-25,28.89092130791799,1,24.08748039805287
2001-04-26,34.47642221643281,1,26.30748062642371
2001-04-27,9.556455879839424,1,23.82800870683884
2001-04-28,12.601218654844985,1,23.688573889610286
2001-04-29,12.613067663364177,1,23.460035262706505
2001-04-30,8.563865863714742,1,25.091918857325346
2001-05-01,41.29731346423967,1,21.91279051509694
2001-05-02,6.720954032551103,1,25.083187565928508
2001-05-03,0.0,0,25.786674034531124
2001-05-04,0.0478545754235066,1,21.07850826854734
2001-05-05,0.0,0,24.66945434904399
2001-05-06,0.0,0,21.833166214067212
2001-05-07,0.0,0,22.583258126492275
2001-05-08,0.0,0,26.05818517924409
2001-05-09,0.0,0,26.763147823284555
2001-05-10,0.6235454520290664,1,27.30212739362225
2001-05-11,55.254327656094944,1,27.78900393508244
2001-05-12,13.019080651231448,1,28.96379007849159
2001-05-13,0.0,0,30.439840042832525
2001-05-14,0.0,0,28.224493693731098
2001-05-15,0.0,0,27.92097773898635
2001-05-16,0.0,0,27.782306850798687
2001-05-17,0.38443887153217005,1,24.335773881951617
2001-05-18,0.017059015701730892,1,23.78111198773282
2001-05-19,0.23216581430352531,1,25.85119343889615
2001-05-20,0.0067041228090728485,1,27.14089141448751
2001-05-21,46.74789116623449,1,28.878954854830766
2001-05-22,0.34808504764821735,1,25.63067171251905
2001-05-23,0.6974722338524298,1,27.396088714403387
2001-05-24,36.37908163246124,1,30.411753527232122
2001-05-25,14.116660603694529,1,27.65342311309026
2001-05-26,0.0,0,30.214976792086212
2001-05-27,2.646026105293818,1,27.40001675073532
2001-05-28,0.0,0,29.086014023154334
2001-05-29,0.0,0,29.840866403654047
2001-05-30,28.48584565021039,1,28.2672038037378
2001-05-31,0.21206599935231119,1,26.94680169407626
2001-06-01,0.0,0,28.64352130528955
2001-06-02,0.0,0,30.475717415845118
2001-06-03,5.1298282287594095,1,27.07548726976143
2001-06-04,0.3743699811695565,1,26.619999479085656
2001-06-05,0.0,0,28.21122054048993
2001-06-06,93.16714282372196,1,25.624201369299957
2001-06-07,2.0475946169900805,1,26.287162747844615
2001-06-08,0.0,0,28.355578893917997
2001-06-09,25.54718440010547,1,26.248476868780628
2001-06-10,2.9637587652153083,1,28.12412866739935
2001-06-11,3.8067865412485227,1,26.91143916776933
2001-06-12,0.29519016636561524,1,28.103617386655106
2001-06-13,0.0,0,30.32151139403621
2001-06-14,1.4593280502456285,1,26.794108199872483
2001-06-15,11.28041144440194,1,29.16179457643308
2001-06-16,17.35942136515377,1,29.41257647513608
2001-06-17,0.0,0,30.164131617847804
2001-06-18,0.0,0,29.871304257204514
2001-06-19,0.05964200636735863,1,29.34565348190841
2001-06-20,68.71482113088439,1,28.7465017255734
2001-06-21,0.00869214874055161,1,28.128883244448225
2001-06-22,80.44218704172455,1,28.423812050713096
2001-06-23,0.0,0,30.07123797255378
2001-06-24,0.11429362756118792,1,27.960210188482318
2001-06-25,2.144452278843181,1,27.465454105182793
2001-06-26,0.49508899897963743,1,28.941494787589058
2001-06-27,39.76830536561234,1,29.849295152882974
2001-06-28,10.22835532826442,1,29.811426314824317
2001-06-29,0.0,0,32.10444768954991
2001-06-30,22.875971233089132,1,29.968049445023684
2001-07-01,0.0,0,31.049487733801683
2001-07-02,0.0,0,31.39625067312626
2001-07-03,8.986117955334262,1,30.737103674843613
2001-07-04,0.0,0,30.31039879130135
2001-07-05,46.72285058931255,1,28.531133754177578
2001-07-06,51.73926561341749,1,30.305438245963572
2001-07-07,0.0,0,31.980951581355804
2001-07-08,17.827785613599918,1,30.111543425313556
2001-07-09,0.0,0,32.61779464763182
2001-07-10,27.102277126092698,1,30.230513951905888
2001-07-11,3.7484466615778733,1,30.82825199746169
2001-07-12,27.344724029665034,1,29.938767679588153
2001-07-13,44.46926195333041,1,30.104812461314662
2001-07-14,0.0,0,31.946888435614063
2001-07-15,0.0,0,30.75964400347868
2001-07-16,0.0,0,31.73978208262056
2001-07-17,1.1886808246333838,1,29.36432745480367
2001-07-18,68.98766426817316,1,29.728970571373182
2001-07-19,23.474443084839343,1,29.44345126823169
2001-07-20,11.804456278579426,1,30.3090718331573
2001-07-21,29.10467217983666,1,30.178343712053714
2001-07-22,0.0,0,31.761073898887215
2001-07-23,0.26998974251113683,1,29.4807802489131
2001-07-24,12.253891220562004,1,28.644044632236294
2001-07-25,22.30484796715225,1,28.82385972760324
2001-07-26,0.0,0,31.20395539232888
