Model,Scenario,2020-2040,2030-2050,2040-2060
Amon_HadGEM3-GC31-LL,ssp126,4040.9890698174613,3507.471344756133,3460.6836156150725
Amon_HadGEM3-GC31-LL,ssp245,3963.6372682037913,3982.3308067238772,3614.0045271424206
Amon_HadGEM3-GC31-LL,ssp585,3715.319169774839,3945.9551944676946,4232.115035947348
Amon_MIROC6,ssp119,3183.2208484666703,3063.5327653047207,3089.2535014098485
Amon_MIROC6,ssp126,2645.3408310049213,2937.7132791804097,3879.311259893929
Amon_MIROC6,ssp245,3295.1632908610036,2979.263764233463,3171.3315637983956
Amon_MIROC6,ssp585,3505.383170770468,3919.339853961559,2931.606972797854
Amon_CAMS-CSM1-0,ssp119,3007.637388417379,2790.728390489822,3120.2520186106776
Amon_CAMS-CSM1-0,ssp126,2803.63922545674,3203.9809293460235,2468.797521015718
Amon_CAMS-CSM1-0,ssp245,2687.2178210396746,3022.5332067178297,3026.270304999634
Amon_CAMS-CSM1-0,ssp585,3397.9518194775983,2689.657578032974,2480.914288897668
