Model,Scenario,2020-2040,2030-2050,2040-2060
Amon_HadGEM3-GC31-LL,ssp126,51.461053234460714,41.28683930745971,47.52178447827902
Amon_HadGEM3-GC31-LL,ssp245,50.138962893143294,49.725229009025185,44.267893557295
Amon_HadGEM3-GC31-LL,ssp585,44.374021397660144,47.67906222861352,46.60916111667319
Amon_MIROC6,ssp119,42.729904926175536,43.26834148658809,46.50859167938758
Amon_MIROC6,ssp126,38.561825358766406,41.74921526208607,48.71250250192449
Amon_MIROC6,ssp245,42.53375012857437,40.01672025541323,40.78222161677807
Amon_MIROC6,ssp585,43.74984314257595,51.46351231698046,44.974742911994504
Amon_CAMS-CSM1-0,ssp119,38.650809823340055,42.20167976514679,46.1567286535777
Amon_CAMS-CSM1-0,ssp126,43.01615510479755,44.76178168929383,38.59003887015404
Amon_CAMS-CSM1-0,ssp245,41.962453455440375,40.10223933896959,36.56740488467838
Amon_CAMS-CSM1-0,ssp585,47.74387814160052,38.27607477263049,37.83782465998805
