Model,Scenario,2020-2040,2030-2050,2040-2060
Amon_HadGEM3-GC31-LL,ssp126,1.896426051686479,1.7940859016030515,0.828801578270251
Amon_HadGEM3-GC31-LL,ssp245,1.6198296177314075,1.9063123782161118,1.1786174964145437
Amon_HadGEM3-GC31-LL,ssp585,1.6098645396958722,1.8536207822639275,1.5376519445773789
Amon_MIROC6,ssp119,1.452637355734757,1.1600048935437013,1.199530719349934
Amon_MIROC6,ssp126,0.48148251154924504,0.6768288365929527,1.85920259832751
Amon_MIROC6,ssp245,0.7299522403811691,0.5089382177234698,1.2051873118024303
Amon_MIROC6,ssp585,1.3135933587330997,1.8701321937055555,0.5799893389767949
Amon_CAMS-CSM1-0,ssp119,0.8287870960365248,0.8289807146272552,0.7183390216468165
Amon_CAMS-CSM1-0,ssp126,0.5702339719943261,1.237417039658745,0.5995522741744133
Amon_CAMS-CSM1-0,ssp245,1.0075920976013584,0.6432241454593755,1.0836192991517681
Amon_CAMS-CSM1-0,ssp585,1.4102768321081531,0.5572038899087919,0.5167910899269941
