month, lower_boundary, upper_boundary, B_avg, N_avg, A_avg, B_std, N_std, A_std, B_P(W), B_P(W|W), B_P(W|D), N_P(W), N_P(W|W), N_P(W|D), A_P(W), A_P(W|W), A_P(W|D), B_shape, B_scale, N_shape, N_scale, A_shape, A_scale
1, 17.683999999999994, 83.07100000000001, 14.07333333333333, 46.6425, 172.43666666666664, 2.2944764592870013, 22.875412974414264, 72.22216295724064, 0.5053763440860215, 0.6382978723404256, 0.391304347826087, 0.8313953488372093, 0.9020979020979021, 0.4482758620689655, 0.9449152542372882, 0.9641255605381166, 0.6153846153846154, 0.33626299727741665, 2.615760105795042, 0.22077245925197692, 7.246964025091564, 0.268745778369743, 12.393882395599979
2, 40.742, 108.97100000000002, 23.24333333333333, 74.025, 190.99666666666667, 10.94293176235489, 22.19280795663316, 45.37765186618725, 0.7023809523809523, 0.8305084745762712, 0.4, 0.8728323699421965, 0.9337748344370861, 0.4090909090909091, 0.8813559322033898, 0.9567307692307693, 0.2857142857142857, 0.1308696078348674, 9.030854652448792, 0.33510910312232095, 7.229631213282034, 0.21286032722697334, 21.204316234536645
3, 85.292, 146.024, 60.87, 112.36, 211.88333333333335, 13.935066080455691, 22.776611907832123, 55.45514543805248, 0.5591397849462365, 0.6538461538461539, 0.4634146341463415, 0.768361581920904, 0.8823529411764706, 0.3902439024390244, 0.9, 0.9420289855072463, 0.4782608695652174, 0.4254663686491019, 8.098105871570821, 0.25635049176007413, 17.996858979903767, 0.3499743597125894, 17.498866472393413
4, 95.137, 188.19100000000003, 65.19333333333334, 142.325, 246.8666666666667, 23.841267210914413, 29.0720832586865, 23.999708794529656, 0.6111111111111112, 0.7636363636363637, 0.4, 0.8409090909090909, 0.8851351351351351, 0.6071428571428571, 0.9163179916317992, 0.9497716894977168, 0.5, 0.41604354982439, 8.3945538909909, 0.5002341846009, 10.262039214468173, 0.5187722457879392, 13.251167454230833
5, 203.46499999999997, 281.09399999999994, 126.68, 229.14, 330.67666666666656, 56.43454438550914, 28.840349339076973, 41.05002016510529, 0.7311827956989247, 0.8529411764705882, 0.44, 0.9015544041450777, 0.9540229885057471, 0.42105263157894735, 0.9440298507462687, 0.9604743083003953, 0.6666666666666666, 0.30794682028589987, 17.885640390256405, 0.5021766231510107, 14.754057667305704, 0.5386150465067845, 16.728746048120595
6, 274.178, 374.425, 157.90333333333334, 315.6875, 509.7466666666666, 62.82146360034039, 24.870589433103518, 69.20464017840284, 0.7222222222222222, 0.8, 0.48, 0.9135135135135135, 0.9408284023668639, 0.625, 0.95, 0.979757085020243, 0.38461538461538464, 0.4500374475139981, 16.193866075154713, 0.6139326779621932, 16.63776983192987, 0.32437153424899207, 40.59587161918552
7, 252.043, 358.26700000000005, 172.99, 299.27750000000003, 473.0900000000001, 59.01762843987097, 23.907795146144277, 50.847285079933314, 0.7311827956989247, 0.8235294117647058, 0.48, 0.8125, 0.8846153846153846, 0.5, 0.916, 0.9475982532751092, 0.5714285714285714, 0.5093248241314686, 14.984370293987297, 0.2275882650139908, 48.02728233461717, 0.1909060307082672, 71.4066311638462
8, 127.39699999999999, 589.296, 75.99333333333333, 274.57500000000005, 768.04, 29.740852188343364, 180.2181602253225, 174.85466555590293, 0.6021505376344086, 0.7321428571428571, 0.43243243243243246, 0.8674033149171271, 0.9044585987261147, 0.5833333333333334, 0.888, 0.9459459459459459, 0.42857142857142855, 0.5820692561179002, 6.871431673754084, 0.1464221720150455, 57.693744026921536, 0.12946764465637306, 125.7443175938809
9, 180.50849999999997, 373.11800000000005, 81.48666666666668, 262.4462500000001, 874.2966666666667, 28.278319532029414, 49.13978497294738, 389.8678153197853, 0.6333333333333333, 0.8245614035087719, 0.30303030303030304, 0.807909604519774, 0.8881118881118881, 0.4411764705882353, 0.9184549356223176, 0.9532710280373832, 0.5263157894736842, 0.5125485247298542, 8.36754321375721, 0.16372940008625442, 55.27818663536512, 0.11440136546018922, 159.2571249901706
10, 90.17699999999998, 303.09800000000007, 46.75333333333333, 219.95500000000004, 315.2733333333333, 6.970305269897122, 78.33653059077872, 8.018667110076517, 0.5483870967741935, 0.7254901960784313, 0.30952380952380953, 0.8171428571428572, 0.951048951048951, 0.21875, 0.9409282700421941, 0.9551569506726457, 0.7142857142857143, 0.2081192876990997, 13.214518023949921, 0.17829632556550035, 39.73098641500884, 0.15245292218105921, 57.56753731024685
11, 46.319, 119.82699999999998, 28.463333333333328, 82.17, 184.26999999999998, 15.458098920055537, 30.013236246696216, 41.04901460449445, 0.4888888888888889, 0.6590909090909091, 0.30434782608695654, 0.823170731707317, 0.8888888888888888, 0.5172413793103449, 0.9380530973451328, 0.9528301886792453, 0.7142857142857143, 0.2201380900303769, 8.815747506095029, 0.3471600781497113, 8.770110806428013, 0.21781176451299894, 20.840668240093102
12, 55.434, 98.048, 42.48666666666666, 67.60000000000001, 144.69, 10.096244626372496, 16.278889704153663, 28.991379178415542, 0.7311827956989247, 0.8235294117647058, 0.52, 0.8393782383419689, 0.9135802469135802, 0.45161290322580644, 0.890625, 0.9385964912280702, 0.4642857142857143, 0.1495860774590029, 12.349052854319744, 0.24008000748430736, 10.166856129680294, 0.24792242128008896, 14.717570805552336
