stno,Date,TX01,PP01
C0C590,2008/1/1,10.92916667,0
C0C590,2008/1/2,11.25,0
C0C590,2008/1/3,14.01875,0
C0C590,2008/1/4,15.8,0
C0C590,2008/1/5,16.275,0
C0C590,2008/1/6,17.1125,0
C0C590,2008/1/7,17.99166667,0
C0C590,2008/1/8,18.97916667,0
C0C590,2008/1/9,20.05416667,0
C0C590,2008/1/10,18.64166667,0
C0C590,2008/1/11,21.35833333,0
C0C590,2008/1/12,18.95,0
C0C590,2008/1/13,14.60833333,5
C0C590,2008/1/14,13.22083333,9.5
C0C590,2008/1/15,14.12727273,0.5
C0C590,2008/1/16,12.52083333,1.5
C0C590,2008/1/17,13.70416667,0
C0C590,2008/1/18,14.79583333,0
C0C590,2008/1/19,17.72083333,0
C0C590,2008/1/20,17.93333333,0
C0C590,2008/1/21,15.17083333,2
C0C590,2008/1/22,15.925,0
C0C590,2008/1/23,13.78333333,0
C0C590,2008/1/24,12.0375,0
C0C590,2008/1/25,14.75833333,0.5
C0C590,2008/1/26,15.14583333,23.5
C0C590,2008/1/27,13.39166667,1.5
C0C590,2008/1/28,14.83333333,6.5
C0C590,2008/1/29,14.0375,3.5
C0C590,2008/1/30,12.475,6.5
C0C590,2008/1/31,11.13333333,51.5
C0C590,2008/2/1,14.35833333,12
C0C590,2008/2/2,12.35416667,30.5
C0C590,2008/2/3,10.16666667,12.5
C0C590,2008/2/4,13.46666667,2
C0C590,2008/2/5,14.0625,33.5
C0C590,2008/2/6,10.7375,11.5
C0C590,2008/2/7,11.44166667,11
C0C590,2008/2/8,11.84583333,19
C0C590,2008/2/9,8.804166667,4
C0C590,2008/2/10,11.24166667,1.5
C0C590,2008/2/11,11.68333333,12
C0C590,2008/2/12,8.795833333,4
C0C590,2008/2/13,8.804166667,0
C0C590,2008/2/14,10.54166667,2
C0C590,2008/2/15,11.1625,0
C0C590,2008/2/16,14.92916667,0
C0C590,2008/2/17,16.20416667,1
C0C590,2008/2/18,15.35833333,0.5
C0C590,2008/2/19,13.84166667,4
C0C590,2008/2/20,14.85,0
C0C590,2008/2/21,16.725,0
C0C590,2008/2/22,15.72083333,0
C0C590,2008/2/23,16.16666667,9
C0C590,2008/2/24,14.725,0.5
C0C590,2008/2/25,15.43333333,8
C0C590,2008/2/26,11.92083333,6.5
C0C590,2008/2/27,10.2,0
C0C590,2008/2/28,12.09565217,0
C0C590,2008/2/29,12.4,0.5
C0C590,2008/3/1,15.9,0.5
C0C590,2008/3/2,15.69565217,0
C0C590,2008/3/3,15.65833333,0
C0C590,2008/3/4,14.84166667,0
C0C590,2008/3/5,15.30833333,0
C0C590,2008/3/6,17.1,0
C0C590,2008/3/7,16.7625,0
C0C590,2008/3/8,14.27391304,0
C0C590,2008/3/9,15.405,0
C0C590,2008/3/10,16.89166667,1
C0C590,2008/3/11,17.80833333,0
C0C590,2008/3/12,19.67916667,0
C0C590,2008/3/13,19.16666667,0
