Date,PP01,TX01
2001-01-01,0.0,0,19.57160213788514
2001-01-02,0.0,0,18.778634099926993
2001-01-03,0.0,0,18.945902875721448
2001-01-04,0.0,0,17.141521471566215
2001-01-05,0.0,0,15.156563071921052
2001-01-06,0.0,0,16.91432192428927
2001-01-07,0.0,0,16.643488553041113
2001-01-08,0.0,0,15.205650048096182
2001-01-09,0.0,0,16.22609380104451
2001-01-10,1.8339179209459555,1,14.115085344369826
2001-01-11,4.192289973259816,1,15.606369580764719
2001-01-12,0.9946720604106861,1,15.326058800215911
2001-01-13,0.0,0,16.19816785674651
2001-01-14,0.0,0,15.681326778602418
2001-01-15,0.0,0,15.204545797702478
2001-01-16,0.0,0,13.588321299138709
2001-01-17,0.0,0,11.944042765609733
2001-01-18,0.0,0,15.035112660854
2001-01-19,0.0,0,15.353178613281216
2001-01-20,0.0,0,13.10815438588886
2001-01-21,2.254369621322868,1,10.120724999933511
2001-01-22,8.352694006996217,1,10.467482953027226
2001-01-23,0.0,0,13.774400774065235
2001-01-24,0.0,0,15.477308203090306
2001-01-25,0.0,0,13.71346770665713
2001-01-26,0.0,0,14.069191682528318
2001-01-27,0.0,0,15.080759509104677
2001-01-28,0.0,0,12.61713915103659
2001-01-29,19.03490885593909,1,13.789921832404241
2001-01-30,3.167977784594173,1,12.702498475272346
2001-01-31,0.0,0,14.742718752970825
2001-02-01,0.0,0,13.6146688324834
2001-02-02,0.0,0,13.024724134583172
2001-02-03,0.0,0,10.101341286611294
2001-02-04,0.7460279313024393,1,11.858319784927827
2001-02-05,3.8861096260922383,1,10.635618913540721
2001-02-06,0.0,0,13.46279597584489
2001-02-07,0.0,0,13.754906293730489
2001-02-08,0.0,0,16.65527155335535
2001-02-09,0.0,0,18.59469412609906
2001-02-10,0.0,0,19.2751971831002
2001-02-11,0.0,0,20.250769728310576
2001-02-12,11.049505628373307,1,18.253617358932736
2001-02-13,8.121097846873113,1,16.429043655816454
2001-02-14,0.0,0,17.189953840726943
2001-02-15,0.0,0,18.214902348635803
2001-02-16,0.921037171417686,1,16.55163731579624
2001-02-17,0.7381996083719341,1,15.208066172777663
2001-02-18,2.4632200268176145,1,19.88685999510176
2001-02-19,0.5984911712738662,1,18.43981654044636
2001-02-20,0.0,0,18.020364372809652
2001-02-21,3.5105358215230718,1,11.345788557499846
2001-02-22,0.5915468462268751,1,9.920564484722926
2001-02-23,0.9829426058747897,1,12.754223282782181
2001-02-24,3.4978870993805447,1,16.390025743095617
2001-02-25,3.471910925248186,1,15.425515894443684
2001-02-26,5.26025487053815,1,14.01339969376747
2001-02-27,0.39446675224349265,1,13.379941012785677
2001-02-28,10.084742966557227,1,16.059337077574067
2001-03-01,9.438217074524415,1,17.491624554416383
2001-03-02,0.0,0,20.93656426478453
2001-03-03,7.234742610042449,1,15.801918654648937
2001-03-04,0.0,0,19.962007150095847
2001-03-05,0.0,0,19.07720491254137
2001-03-06,3.9147769309835168,1,18.025864473496167
2001-03-07,0.0,0,22.068070063917254
2001-03-08,0.0,0,20.53232809518233
2001-03-09,0.7011408461387553,1,19.116809473176858
2001-03-10,0.0,0,21.6707847981507
2001-03-11,1.1991658389934643,1,20.197228291120776
2001-03-12,2.6172681150367954,1,20.887707772768344
2001-03-13,6.535244090790937,1,18.859765687188847
2001-03-14,25.555317730823294,1,17.788346610993447
2001-03-15,0.8052956850440116,1,20.409818550626763
2001-03-16,0.0,0,21.778314066785104
2001-03-17,4.301964339697879,1,18.04561042873237
2001-03-18,0.0,0,19.562308677392718
2001-03-19,0.0,0,18.53364735900382
2001-03-20,6.6173665402621165,1,18.013421070656594
2001-03-21,0.0,0,16.54912952385276
2001-03-22,0.0,0,17.492943943872433
2001-03-23,1.4698285020944781,1,15.779612562859308
2001-03-24,22.184756632565723,1,15.993671656623501
2001-03-25,0.0,0,18.94969998796073
2001-03-26,1.2681796161231942,1,17.077932099587827
2001-03-27,0.0,0,18.373404762057252
2001-03-28,0.0,0,21.79821624355848
2001-03-29,18.996081418571748,1,19.52469299256922
2001-03-30,0.0,0,22.01650392450407
2001-03-31,0.0,0,21.70346262680819
2001-04-01,0.0,0,20.56413795132194
2001-04-02,0.0,0,21.80619331482819
2001-04-03,0.0,0,21.426471436983864
2001-04-04,0.0,0,21.317596227183365
2001-04-05,5.026268527731754,1,20.109239471167047
2001-04-06,0.0,0,20.474241246331385
2001-04-07,0.0,0,16.92266777040803
2001-04-08,0.0,0,19.236470332855042
2001-04-09,0.0,0,19.491241147430273
2001-04-10,4.6571641655168055,1,17.24240964767872
2001-04-11,1.9691525589409138,1,17.571335971828653
2001-04-12,15.860691542773502,1,18.578376664841414
2001-04-13,5.068014744730821,1,20.66214554947719
2001-04-14,41.64770388358622,1,22.83780515599011
2001-04-15,0.0,0,22.492705556917684
2001-04-16,0.0,0,21.006857624828537
2001-04-17,0.0,0,22.24948528999812
2001-04-18,32.23064181387942,1,21.393877559415763
2001-04-19,2.291034501029427,1,21.386656113372958
2001-04-20,0.13785521847065615,1,21.305271831230765
2001-04-21,31.693566996582817,1,21.44826497076514
2001-04-22,25.587260587314496,1,23.064420317180613
2001-04-23,0.0,0,25.521719033000558
2001-04-24,0.0,0,23.948988429457962
2001-04-25,8.779748363407508,1,22.677965288981014
2001-04-26,1.6171187827922653,1,20.536945791967685
2001-04-27,0.0,0,23.20064800984089
2001-04-28,0.0,0,25.169404193403704
2001-04-29,0.0,0,24.885696128331205
2001-04-30,0.0,0,26.574345144840095
2001-05-01,0.0,0,24.819113695999985
2001-05-02,0.0,0,26.489230927448215
2001-05-03,0.0,0,27.516610408619787
2001-05-04,0.0,0,25.589128443155268
2001-05-05,0.0,0,24.32870881653664
2001-05-06,0.0,0,22.995321065495435
2001-05-07,0.0,0,24.235972445547304
2001-05-08,8.691012170088744,1,25.392943209275078
2001-05-09,0.0,0,25.89537091745426
2001-05-10,19.148502508852804,1,23.260659639859078
2001-05-11,1.61373542463244,1,23.587946618833843
2001-05-12,5.7472259623132755,1,23.055543553414427
2001-05-13,0.007411868490589626,1,24.674326020028296
2001-05-14,0.0,0,25.875206309841385
2001-05-15,0.0,0,29.05062284702971
2001-05-16,0.09221726900689045,1,24.313205351166104
2001-05-17,1.5091538431930405,1,24.39272436026367
2001-05-18,9.868161067865039,1,26.130682846943873
2001-05-19,73.26825339024656,1,25.801240170428972
2001-05-20,0.0,0,27.75515074789457
2001-05-21,0.0,0,27.000161898966063
2001-05-22,0.0,0,26.508180502898306
2001-05-23,0.0,0,27.7247061675241
2001-05-24,16.642171869914822,1,23.801927850726614
2001-05-25,12.013170788428871,1,25.537745916907586
2001-05-26,32.087709168558284,1,26.589986705583698
2001-05-27,0.0,0,27.120032225452437
2001-05-28,0.0,0,26.743849128706866
2001-05-29,0.0,0,25.60975698053198
2001-05-30,10.497188459363516,1,26.74805921736265
2001-05-31,0.672553332271894,1,25.663796700230925
2001-06-01,0.0,0,27.879005080689797
2001-06-02,0.0,0,28.738119055439853
2001-06-03,6.182775593336834,1,26.601579406407556
2001-06-04,0.0,0,28.20483842476256
2001-06-05,0.0,0,28.18615151075865
2001-06-06,0.0,0,28.681237668080495
2001-06-07,0.0,0,29.107589053852575
2001-06-08,0.0,0,29.056517870802754
2001-06-09,0.0,0,29.344973980738175
2001-06-10,0.0,0,28.27369056836189
2001-06-11,0.0,0,28.95876902433338
2001-06-12,35.37515070618492,1,27.57856668482275
2001-06-13,2.150716757515933,1,28.141798584476614
2001-06-14,0.0,0,29.01634344638537
2001-06-15,0.0,0,28.45728974217193
2001-06-16,0.0,0,28.655776361723657
2001-06-17,0.0,0,29.16638342691622
2001-06-18,0.0,0,28.380766719846044
2001-06-19,0.0,0,28.177404071869304
2001-06-20,0.0,0,29.848106945517102
2001-06-21,1.1718705971149928,1,29.394408290281955
2001-06-22,0.0,0,29.842514438766546
2001-06-23,0.0,0,28.487903423181393
2001-06-24,0.0,0,28.931848281729668
2001-06-25,0.0,0,27.534632663019188
2001-06-26,0.0,0,29.00142465395346
2001-06-27,13.601573468336474,1,27.758262998124692
2001-06-28,0.0,0,29.907410550383684
