Time,Hazard,riskLight
2021-06-07 16:05,強風,green
2021-06-07 16:05,高濕,yellow
2021-06-07 16:05,乾旱,red
2021-06-07 16:05,高溫,green
2021-06-07 16:05,低溫,yellow
2021-06-07 16:05,強風,green
2021-06-07 16:05,高濕,yellow
2021-06-07 16:05,乾旱,red
2021-06-07 16:05,高溫,green
2021-06-07 16:05,低溫,yellow
2021-06-07 16:49,強風,green
2021-06-07 16:49,高濕,yellow
2021-06-07 16:49,乾旱,red
2021-06-07 16:49,高溫,green
2021-06-07 16:49,低溫,yellow

2021-06-07 22:23,強風,green
2021-06-07 22:23,高濕,yellow
2021-06-07 22:23,乾旱,red
2021-06-07 22:23,低溫,green
2021-06-07 22:23,高溫,green

2021-06-07 22:24,強風,green
2021-06-07 22:24,高濕,yellow
2021-06-07 22:24,乾旱,red
2021-06-07 22:24,低溫,green
2021-06-07 22:24,高溫,green

2021-06-07 22:32,強風,green
2021-06-07 22:32,高濕,yellow
2021-06-07 22:32,乾旱,red
2021-06-07 22:32,低溫,green
2021-06-07 22:32,高溫,green

2021-06-07 22:35,強風,green
2021-06-07 22:35,高濕,yellow
2021-06-07 22:35,乾旱,red
2021-06-07 22:35,低溫,green
2021-06-07 22:35,高溫,green
